denominazione_comune,terapia_intensiva,malattie_infettive,positivi_quarantena_domiciliare,ricoverati_altrove,guariti_clinicamente,guariti_da_covid,deceduti_in_provincia,deceduti_fuori_provincia,data
Delia,,,3,,,115,3,,2021-10-26
Gela,,6,93,,,6489,95,1,2021-10-26
Marianopoli,,,6,,,84,3,,2021-10-26
Mazzarino,,,2,,,876,5,1,2021-10-26
Milena,,,,,,165,6,,2021-10-26
Montedoro,,,,,,85,4,,2021-10-26
Mussomeli,,1,8,,,392,4,1,2021-10-26
Niscemi,,3,20,,,2775,39,,2021-10-26
Resuttano,,,,,,86,,,2021-10-26
Riesi,,4,27,,,780,8,,2021-10-26
San Cataldo,,1,15,,,1019,17,,2021-10-26
Santa Caterina Villarmosa,,,,,,274,2,,2021-10-26
Serradifalco,,,,1,,348,4,,2021-10-26
Sommatino,,,1,,,225,4,,2021-10-26
Sutera,,,4,,,5,,,2021-10-26
Vallelunga Pratameno,,,,,,84,,,2021-10-26
Villalba,,,,,,56,,,2021-10-26
altreProvince,,2,,,,59,31,,2021-10-26
Acquaviva Platani,,,,,,44,,,2021-10-27
Bompensiere,,,,,,34,1,,2021-10-27
Butera,,1,1,,,200,1,,2021-10-27
Caltanissetta,,,33,,,3141,58,1,2021-10-27
Campofranco,,,,,,138,3,,2021-10-27
Delia,,,3,,,115,3,,2021-10-27
Gela,,6,80,,,6503,95,1,2021-10-27
Marianopoli,,,5,,,85,3,,2021-10-27
Mazzarino,,,3,,,877,5,1,2021-10-27
Milena,,,,,,165,6,,2021-10-27
Montedoro,,,,,,85,4,,2021-10-27
Mussomeli,,1,8,,,392,4,1,2021-10-27
Niscemi,,3,22,,,2775,39,,2021-10-27
Resuttano,,,,,,86,,,2021-10-27
Riesi,,4,28,,,780,8,,2021-10-27
San Cataldo,,1,20,,,1019,17,,2021-10-27
Santa Caterina Villarmosa,,,,,,274,2,,2021-10-27
Serradifalco,,,,1,,348,4,,2021-10-27
Sommatino,,,1,,,225,4,,2021-10-27
Sutera,,,4,,,5,,,2021-10-27
Vallelunga Pratameno,,,,,,84,,,2021-10-27
Villalba,,,,,,56,,,2021-10-27
altreProvince,,1,,,,60,31,,2021-10-27
Acquaviva Platani,,,,,,44,,,2021-10-28
Bompensiere,,,,,,34,1,,2021-10-28
Butera,,1,1,,,200,1,,2021-10-28
Caltanissetta,,,29,,,3146,59,1,2021-10-28
Campofranco,,,,,,138,3,,2021-10-28
Delia,,,2,,,116,3,,2021-10-28
Gela,,4,76,,,6512,95,1,2021-10-28
Marianopoli,,,5,,,85,3,,2021-10-28
Mazzarino,,,3,,,877,5,1,2021-10-28
Milena,,,,,,165,6,,2021-10-28
Montedoro,,,,,,85,4,,2021-10-28
Mussomeli,,1,8,,,392,4,1,2021-10-28
Niscemi,,2,21,,,2778,39,,2021-10-28
Resuttano,,,,,,86,,,2021-10-28
Riesi,,4,34,,,783,8,,2021-10-28
San Cataldo,,1,21,,,1020,17,,2021-10-28
Santa Caterina Villarmosa,,,1,,,274,2,,2021-10-28
Serradifalco,,,,1,,348,4,,2021-10-28
Sommatino,,,1,,,225,4,,2021-10-28
Sutera,,,4,,,5,,,2021-10-28
Vallelunga Pratameno,,,,,,84,,,2021-10-28
Villalba,,,,,,56,,,2021-10-28
altreProvince,,,,,,60,32,,2021-10-28
Acquaviva Platani,,,,,,44,,,2021-10-29
Bompensiere,,,,,,34,1,,2021-10-29
Butera,,1,1,,,200,1,,2021-10-29
Caltanissetta,,,30,,,3146,59,1,2021-10-29
Campofranco,,,,,,138,3,,2021-10-29
Delia,,,2,,,116,3,,2021-10-29
Gela,,4,77,,,6513,95,1,2021-10-29
Marianopoli,,,4,,,86,3,,2021-10-29
Mazzarino,,,3,,,877,5,1,2021-10-29
Milena,,,,,,165,6,,2021-10-29
Montedoro,,,,,,85,4,,2021-10-29
Mussomeli,,1,12,,,392,4,1,2021-10-29
Niscemi,,2,20,,,2779,39,,2021-10-29
Resuttano,,,,,,86,,,2021-10-29
Riesi,,4,34,,,783,8,,2021-10-29
San Cataldo,,1,21,,,1020,17,,2021-10-29
Santa Caterina Villarmosa,,,1,,,274,2,,2021-10-29
Serradifalco,,,1,1,,348,4,,2021-10-29
Sommatino,,,1,,,225,4,,2021-10-29
Sutera,,,4,,,5,,,2021-10-29
Vallelunga Pratameno,,,,,,84,,,2021-10-29
Villalba,,,,,,56,,,2021-10-29
altreProvince,,,,,,60,32,,2021-10-29
Acquaviva Platani,,,,,,44,,,2021-10-30
Bompensiere,,,,,,34,1,,2021-10-30
Butera,,1,1,,,200,1,,2021-10-30
Caltanissetta,,,31,,,3150,59,1,2021-10-30
Campofranco,,,,,,138,3,,2021-10-30
Delia,,,1,,,117,3,,2021-10-30
Gela,,4,75,,,6515,95,1,2021-10-30
Marianopoli,,,2,,,88,3,,2021-10-30
Mazzarino,,,3,,,877,5,1,2021-10-30
Milena,,,,,,165,6,,2021-10-30
Montedoro,,,,,,85,4,,2021-10-30
Mussomeli,,1,12,,,392,4,1,2021-10-30
Niscemi,,2,20,,,2779,39,,2021-10-30
Resuttano,,,,,,86,,,2021-10-30
Riesi,,4,34,,,783,8,,2021-10-30
San Cataldo,1,,21,,,1021,17,,2021-10-30
Santa Caterina Villarmosa,,,1,,,274,2,,2021-10-30
Serradifalco,,,1,ù,,348,4,,2021-10-30
Sommatino,,,1,,,225,4,,2021-10-30
Sutera,,,4,,,5,,,2021-10-30
Vallelunga Pratameno,,,,,,84,,,2021-10-30
Villalba,,,,,,56,,,2021-10-30
altreProvince,,,,,,60,32,,2021-10-30
Acquaviva Platani,,,,,,44,,,2021-10-31
Bompensiere,,,,,,34,1,,2021-10-31
Butera,,1,1,,,200,1,,2021-10-31
Caltanissetta,,,32,,,3150,59,1,2021-10-31
Campofranco,,,,,,138,3,,2021-10-31
Delia,,,1,,,117,3,,2021-10-31
Gela,,4,77,,,6527,95,1,2021-10-31
Marianopoli,,,2,,,88,3,,2021-10-31
Mazzarino,,,3,,,877,5,1,2021-10-31
Milena,,,,,,165,6,,2021-10-31
Montedoro,,,,,,85,4,,2021-10-31
Mussomeli,,1,12,,,392,4,1,2021-10-31
Niscemi,,2,23,,,2781,39,,2021-10-31
Resuttano,,,,,,86,,,2021-10-31
Riesi,,4,37,,,786,8,,2021-10-31
San Cataldo,1,,21,,,1021,17,,2021-10-31
Santa Caterina Villarmosa,,,1,,,274,2,,2021-10-31
Serradifalco,,,1,1,,348,4,,2021-10-31
Sommatino,,,1,,,225,4,,2021-10-31
Sutera,,,4,,,5,,,2021-10-31
Vallelunga Pratameno,,,,,,84,,,2021-10-31
Villalba,,,,,,56,,,2021-10-31
altreProvince,,,,,,60,32,,2021-10-31
Acquaviva Platani,,,,,,44,,,2021-11-01
Bompensiere,,,,,,34,1,,2021-11-01
Butera,,1,1,,,200,1,,2021-11-01
Caltanissetta,,,33,,,3151,59,1,2021-11-01
Campofranco,,,,,,138,3,,2021-11-01
Delia,,,1,,,117,3,,2021-11-01
Gela,,4,69,,,6535,95,1,2021-11-01
Marianopoli,,,2,,,88,3,,2021-11-01
Mazzarino,,,3,,,877,5,1,2021-11-01
Milena,,,,,,165,6,,2021-11-01
Montedoro,,,,,,85,4,,2021-11-01
Mussomeli,,1,13,,,392,4,1,2021-11-01
Niscemi,,2,20,,,2784,39,,2021-11-01
Resuttano,,,,,,86,,,2021-11-01
Riesi,,6,35,,,786,8,,2021-11-01
San Cataldo,1,,21,,,1021,17,,2021-11-01
Santa Caterina Villarmosa,,,2,,,275,2,,2021-11-01
Serradifalco,,,1,1,,348,4,,2021-11-01
Sommatino,,,1,,,225,4,,2021-11-01
Sutera,,,4,,,5,,,2021-11-01
Vallelunga Pratameno,,,,,,84,,,2021-11-01
Villalba,,,,,,56,,,2021-11-01
altreProvince,,,,,,60,32,,2021-11-01
Acquaviva Platani,,,,,,44,,,2021-11-02
Bompensiere,,,,,,34,1,,2021-11-02
Butera,,1,1,,,200,1,,2021-11-02
Caltanissetta,,,34,,,3151,59,1,2021-11-02
Campofranco,,,,,,138,3,,2021-11-02
Delia,,,1,,,117,3,,2021-11-02
Gela,,4,71,,,6539,95,1,2021-11-02
Marianopoli,,,2,,,88,3,,2021-11-02
Mazzarino,,,3,,,877,5,1,2021-11-02
Milena,,,,,,165,6,,2021-11-02
Montedoro,,,,,,85,4,,2021-11-02
Mussomeli,,1,12,,,393,4,1,2021-11-02
Niscemi,,2,24,,,2785,39,,2021-11-02
Resuttano,,,,,,86,,,2021-11-02
Riesi,,7,45,,,788,8,,2021-11-02
San Cataldo,1,,21,,,1021,17,,2021-11-02
Santa Caterina Villarmosa,,,4,,,275,2,,2021-11-02
Serradifalco,,,1,1,,348,4,,2021-11-02
Sommatino,,,,,,226,4,,2021-11-02
Sutera,,,4,,,5,,,2021-11-02
Vallelunga Pratameno,,,,,,84,,,2021-11-02
Villalba,,,,,,56,,,2021-11-02
altreProvince,,,,,,60,32,,2021-11-02
Acquaviva Platani,,,,,,44,,,2021-11-03
Bompensiere,,,,,,34,1,,2021-11-03
Butera,,1,1,,,200,1,,2021-11-03
Caltanissetta,,1,35,,,3151,59,1,2021-11-03
Campofranco,,,,,,138,3,,2021-11-03
Delia,,,1,,,117,3,,2021-11-03
Gela,,4,70,,,6545,95,1,2021-11-03
Marianopoli,,,2,,,88,3,,2021-11-03
Mazzarino,,,3,,,877,5,1,2021-11-03
Milena,,,,,,165,6,,2021-11-03
Montedoro,,,,,,85,4,,2021-11-03
Mussomeli,,1,12,,,393,4,1,2021-11-03
Niscemi,,1,27,,,2786,39,,2021-11-03
Resuttano,,,,,,86,,,2021-11-03
Riesi,,7,45,,,788,8,,2021-11-03
San Cataldo,1,,21,,,1021,17,,2021-11-03
Santa Caterina Villarmosa,,,4,,,275,2,,2021-11-03
Serradifalco,,,1,1,,348,4,,2021-11-03
Sommatino,,,,,,226,4,,2021-11-03
Sutera,,,4,,,5,,,2021-11-03
Vallelunga Pratameno,,,,,,84,,,2021-11-03
Villalba,,,,,,56,,,2021-11-03
altreProvince,,,,,,60,32,,2021-11-03
Acquaviva Platani,,,,,,44,,,2021-11-04
Bompensiere,,,,,,34,1,,2021-11-04
Butera,,1,1,,,200,1,,2021-11-04
Caltanissetta,,1,35,,,3152,59,1,2021-11-04
Campofranco,,,,,,138,3,,2021-11-04
Delia,,,,,,118,3,,2021-11-04
Gela,,4,70,,,6551,95,1,2021-11-04
Marianopoli,,,2,,,88,3,,2021-11-04
Mazzarino,,,5,,,877,5,1,2021-11-04
Milena,,,,,,165,6,,2021-11-04
Montedoro,,,,,,85,4,,2021-11-04
Mussomeli,,2,13,,,393,4,1,2021-11-04
Niscemi,,1,32,,,2787,39,,2021-11-04
Resuttano,,,,,,86,,,2021-11-04
Riesi,,7,50,,,789,8,,2021-11-04
San Cataldo,1,,20,,,1022,17,,2021-11-04
Santa Caterina Villarmosa,,,4,,,275,2,,2021-11-04
Serradifalco,,,7,1,,348,4,,2021-11-04
Sommatino,,,,,,226,4,,2021-11-04
Sutera,,,4,,,5,,,2021-11-04
Vallelunga Pratameno,,,,,,84,,,2021-11-04
Villalba,,,,,,56,,,2021-11-04
altreProvince,,,,,,60,32,,2021-11-04
Acquaviva Platani,,,1,,,44,,,2021-11-05
Bompensiere,,,,,,34,1,,2021-11-05
Butera,,1,1,,,200,1,,2021-11-05
Caltanissetta,,1,35,,,3152,59,1,2021-11-05
Campofranco,,,,,,138,3,,2021-11-05
Delia,,,,,,118,3,,2021-11-05
Gela,,4,72,,,6551,95,1,2021-11-05
Marianopoli,,,,,,90,3,,2021-11-05
Mazzarino,,,5,,,877,5,1,2021-11-05
Milena,,,,,,165,6,,2021-11-05
Montedoro,,,,,,85,4,,2021-11-05
Mussomeli,,2,13,,,393,4,1,2021-11-05
Niscemi,,1,44,,,2789,39,,2021-11-05
Resuttano,,,,,,86,,,2021-11-05
Riesi,,7,50,,,789,8,,2021-11-05
San Cataldo,1,,19,,,1023,17,,2021-11-05
Santa Caterina Villarmosa,,,4,,,275,2,,2021-11-05
Serradifalco,,,7,1,,348,4,,2021-11-05
Sommatino,,,,,,226,4,,2021-11-05
Sutera,,,2,,,7,,,2021-11-05
Vallelunga Pratameno,,,,,,84,,,2021-11-05
Villalba,,,,,,56,,,2021-11-05
altreProvince,,,,,,60,32,,2021-11-05
Acquaviva Platani,,,2,,,44,,,2021-11-06
Bompensiere,,,,,,34,1,,2021-11-06
Butera,,1,1,,,200,1,,2021-11-06
Caltanissetta,,1,34,,,3153,59,1,2021-11-06
Campofranco,,,,,,138,3,,2021-11-06
Delia,,,,,,118,3,,2021-11-06
Gela,,4,66,,,6558,95,1,2021-11-06
Marianopoli,,,,,,90,3,,2021-11-06
Mazzarino,,,5,,,877,5,1,2021-11-06
Milena,,,,,,165,6,,2021-11-06
Montedoro,,,,,,85,4,,2021-11-06
Mussomeli,,2,14,,,393,4,1,2021-11-06
Niscemi,,,47,,,2790,39,,2021-11-06
Resuttano,,,,,,86,,,2021-11-06
Riesi,,7,54,,,792,8,,2021-11-06
San Cataldo,1,,21,,,1024,17,,2021-11-06
Santa Caterina Villarmosa,,,4,,,275,2,,2021-11-06
Serradifalco,,,7,1,,348,4,,2021-11-06
Sommatino,,,2,,,226,4,,2021-11-06
Sutera,,,2,,,7,,,2021-11-06
Vallelunga Pratameno,,,,,,84,,,2021-11-06
Villalba,,,,,,56,,,2021-11-06
altreProvince,,,,,,60,32,,2021-11-06
Acquaviva Platani,,,2,,,44,,,2021-11-08
Bompensiere,,,,,,34,1,,2021-11-08
Butera,,1,,,,201,1,,2021-11-08
Caltanissetta,,1,32,,,3157,59,1,2021-11-08
Campofranco,,,,,,138,3,,2021-11-08
Delia,,,,,,118,3,,2021-11-08
Gela,,4,62,,,6563,95,1,2021-11-08
Marianopoli,,,,,,90,3,,2021-11-08
Mazzarino,,,3,,,879,5,1,2021-11-08
Milena,,,,,,165,6,,2021-11-08
Montedoro,,,,,,85,4,,2021-11-08
Mussomeli,,2,13,,,394,4,1,2021-11-08
Niscemi,,,50,,,2793,39,,2021-11-08
Resuttano,,,,,,86,,,2021-11-08
Riesi,,6,59,,,799,8,,2021-11-08
San Cataldo,1,,27,,,1024,17,,2021-11-08
Santa Caterina Villarmosa,,,4,,,275,2,,2021-11-08
Serradifalco,,,6,1,,349,4,,2021-11-08
Sommatino,,,2,,,226,4,,2021-11-08
Sutera,,,2,,,7,,,2021-11-08
Vallelunga Pratameno,,,,,,84,,,2021-11-08
Villalba,,,,,,56,,,2021-11-08
altreProvince,,,,,,60,32,,2021-11-08
Acquaviva Platani,,1,7,,,44,,,2021-11-09
Bompensiere,,,,,,34,1,,2021-11-09
Butera,,1,,,,201,1,,2021-11-09
Caltanissetta,,1,31,,,3161,59,1,2021-11-09
Campofranco,,,,,,138,3,,2021-11-09
Delia,,,,,,118,3,,2021-11-09
Gela,,4,60,,,6567,95,1,2021-11-09
Marianopoli,,,,,,90,3,,2021-11-09
Mazzarino,,,2,,,880,5,1,2021-11-09
Milena,,,,,,165,6,,2021-11-09
Montedoro,,,,,,85,4,,2021-11-09
Mussomeli,,2,14,,,398,4,1,2021-11-09
Niscemi,,,60,,,2793,39,,2021-11-09
Resuttano,,,,,,86,,,2021-11-09
Riesi,,6,63,,,800,8,,2021-11-09
San Cataldo,1,,28,,,1026,17,,2021-11-09
Santa Caterina Villarmosa,,,4,,,275,2,,2021-11-09
Serradifalco,,,6,1,,349,4,,2021-11-09
Sommatino,,,2,,,226,4,,2021-11-09
Sutera,,,2,,,7,,,2021-11-09
Vallelunga Pratameno,,,,,,84,,,2021-11-09
Villalba,,,,,,56,,,2021-11-09
altreProvince,,,,,,60,32,,2021-11-09
Acquaviva Platani,,1,14,,,44,,,2021-11-10
Bompensiere,,,,,,34,1,,2021-11-10
Butera,,1,,,,201,1,,2021-11-10
Caltanissetta,,,29,,,3164,59,1,2021-11-10
Campofranco,,,,,,138,3,,2021-11-10
Delia,,,,,,118,3,,2021-11-10
Gela,,4,63,,,6569,95,1,2021-11-10
Marianopoli,,,,,,90,3,,2021-11-10
Mazzarino,,,2,,,880,5,1,2021-11-10
Milena,,,,,,165,6,,2021-11-10
Montedoro,,,,,,85,4,,2021-11-10
Mussomeli,,2,18,,,398,4,1,2021-11-10
Niscemi,,,61,,,2794,39,,2021-11-10
Resuttano,,,,,,86,,,2021-11-10
Riesi,,6,63,,,800,8,,2021-11-10
San Cataldo,1,,28,,,1026,17,,2021-11-10
Santa Caterina Villarmosa,,,5,,,275,2,,2021-11-10
Serradifalco,,,6,1,,349,4,,2021-11-10
Sommatino,,,2,,,226,4,,2021-11-10
Sutera,,,2,,,7,,,2021-11-10
Vallelunga Pratameno,,,,,,84,,,2021-11-10
Villalba,,,,,,56,,,2021-11-10
altreProvince,,,,,,60,32,,2021-11-10
Acquaviva Platani,,1,16,,,44,,,2021-11-12
Bompensiere,,,,,,34,1,,2021-11-12
Butera,,1,1,,,201,1,,2021-11-12
Caltanissetta,,,28,,,3166,59,1,2021-11-12
Campofranco,,,,,,138,3,,2021-11-12
Delia,,,,,,118,3,,2021-11-12
Gela,,2,56,,,6582,95,1,2021-11-12
Marianopoli,,,,,,90,3,,2021-11-12
Mazzarino,,,3,,,880,5,1,2021-11-12
Milena,,,,,,165,6,,2021-11-12
Montedoro,,,,,,85,4,,2021-11-12
Mussomeli,,2,18,,,399,4,1,2021-11-12
Niscemi,,,80,,,2794,39,,2021-11-12
Resuttano,,,,,,86,,,2021-11-12
Riesi,,6,61,,,806,8,,2021-11-12
San Cataldo,1,,24,,,1034,17,,2021-11-12
Santa Caterina Villarmosa,,,5,,,275,2,,2021-11-12
Serradifalco,,,6,1,,349,4,,2021-11-12
Sommatino,,,2,,,226,4,,2021-11-12
Sutera,,,2,,,7,,,2021-11-12
Vallelunga Pratameno,,,,,,84,,,2021-11-12
Villalba,,,,,,56,,,2021-11-12
altreProvince,,,,,,60,32,,2021-11-12
Acquaviva Platani,,1,18,,,44,,,2021-11-13
Bompensiere,,,,,,34,1,,2021-11-13
Butera,,1,1,,,201,1,,2021-11-13
Caltanissetta,,1,26,,,3169,59,1,2021-11-13
Campofranco,,,2,,,138,3,,2021-11-13
Delia,,,,,,118,3,,2021-11-13
Gela,,2,51,,,6589,95,1,2021-11-13
Marianopoli,,,,,,90,3,,2021-11-13
Mazzarino,,,3,,,880,5,1,2021-11-13
Milena,,,,,,165,6,,2021-11-13
Montedoro,,,,,,85,4,,2021-11-13
Mussomeli,,2,17,,,400,4,1,2021-11-13
Niscemi,,,85,,,2798,39,,2021-11-13
Resuttano,,,,,,86,,,2021-11-13
Riesi,,5,63,,,809,8,,2021-11-13
San Cataldo,1,1,23,,,1034,17,,2021-11-13
Santa Caterina Villarmosa,,,6,,,276,2,,2021-11-13
Serradifalco,,,6,1,,349,4,,2021-11-13
Sommatino,,1,2,,,226,4,,2021-11-13
Sutera,,,,,,9,,,2021-11-13
Vallelunga Pratameno,,,,,,84,,,2021-11-13
Villalba,,1,8,,,56,,,2021-11-13
altreProvince,,,,,,60,32,,2021-11-13
Acquaviva Platani,,1,18,,,44,,,2021-11-14
Bompensiere,,,,,,34,1,,2021-11-14
Butera,,1,1,,,201,1,,2021-11-14
Caltanissetta,,1,26,,,3170,59,1,2021-11-14
Campofranco,,,2,,,138,3,,2021-11-14
Delia,,,,,,118,3,,2021-11-14
Gela,,3,44,,,6597,95,1,2021-11-14
Marianopoli,,,,,,90,3,,2021-11-14
Mazzarino,,,3,,,880,5,1,2021-11-14
Milena,,,,,,165,6,,2021-11-14
Montedoro,,,,,,85,4,,2021-11-14
Mussomeli,,2,17,,,400,4,1,2021-11-14
Niscemi,,,84,,,2801,39,,2021-11-14
Resuttano,,,,,,86,,,2021-11-14
Riesi,,5,62,,,810,9,,2021-11-14
San Cataldo,1,1,23,,,1034,17,,2021-11-14
Santa Caterina Villarmosa,,,6,,,276,2,,2021-11-14
Serradifalco,,,6,1,,349,4,,2021-11-14
Sommatino,,,2,,,226,5,,2021-11-14
Sutera,,,,,,9,,,2021-11-14
Vallelunga Pratameno,,,,,,84,,,2021-11-14
Villalba,,1,8,,,56,,,2021-11-14
altreProvince,,,,,,60,32,,2021-11-14
Acquaviva Platani,,1,18,,,44,,,2021-11-15
Bompensiere,,,,,,34,1,,2021-11-15
Butera,,1,1,,,201,1,,2021-11-15
Caltanissetta,,1,27,,,3172,59,1,2021-11-15
Campofranco,,,3,,,138,3,,2021-11-15
Delia,,,,,,118,3,,2021-11-15
Gela,,2,45,,,6600,95,1,2021-11-15
Marianopoli,,,,,,90,3,,2021-11-15
Mazzarino,,,3,,,880,5,1,2021-11-15
Milena,,,,,,165,6,,2021-11-15
Montedoro,,,,,,85,4,,2021-11-15
Mussomeli,,3,19,,,400,4,1,2021-11-15
Niscemi,,,84,,,2801,39,,2021-11-15
Resuttano,,,,,,86,,,2021-11-15
Riesi,,7,57,,,814,9,,2021-11-15
San Cataldo,1,1,23,,,1039,17,,2021-11-15
Santa Caterina Villarmosa,,,6,,,276,2,,2021-11-15
Serradifalco,,,7,1,,349,4,,2021-11-15
Sommatino,,,2,,,226,5,,2021-11-15
Sutera,,,,,,9,,,2021-11-15
Vallelunga Pratameno,,,,,,84,,,2021-11-15
Villalba,,2,14,,,56,,,2021-11-15
altreProvince,,,,,,60,32,,2021-11-15
Acquaviva Platani,,1,18,,,44,,,2021-11-16
Bompensiere,,,,,,34,1,,2021-11-16
Butera,,1,1,,,201,1,,2021-11-16
Caltanissetta,,1,29,,,3172,59,1,2021-11-16
Campofranco,,1,3,,,138,3,,2021-11-16
Delia,,,,,,118,3,,2021-11-16
Gela,,2,50,,,6602,95,1,2021-11-16
Marianopoli,,,,,,90,3,,2021-11-16
Mazzarino,,,3,,,880,5,1,2021-11-16
Milena,,,1,,,165,6,,2021-11-16
Montedoro,,,,,,85,4,,2021-11-16
Mussomeli,,3,18,,,401,4,1,2021-11-16
Niscemi,,,93,,,2802,39,,2021-11-16
Resuttano,,,,,,86,,,2021-11-16
Riesi,,7,51,,,824,9,,2021-11-16
San Cataldo,1,1,21,,,1041,17,,2021-11-16
Santa Caterina Villarmosa,,,9,,,276,2,,2021-11-16
Serradifalco,,,7,1,,349,4,,2021-11-16
Sommatino,,,2,,,226,5,,2021-11-16
Sutera,,,,,,9,,,2021-11-16
Vallelunga Pratameno,,,,,,84,,,2021-11-16
Villalba,,2,15,,,56,,,2021-11-16
altreProvince,,,,,,60,32,,2021-11-16
Acquaviva Platani,,1,18,,,44,,,2021-11-17
Bompensiere,,,,,,34,1,,2021-11-17
Butera,,1,1,,,201,1,,2021-11-17
Caltanissetta,,1,29,,,3175,59,1,2021-11-17
Campofranco,,1,3,,,138,3,,2021-11-17
Delia,,,4,,,118,3,,2021-11-17
Gela,,2,52,,,6602,95,1,2021-11-17
Marianopoli,,,,,,90,3,,2021-11-17
Mazzarino,,,3,,,880,5,1,2021-11-17
Milena,,,1,,,165,6,,2021-11-17
Montedoro,,,,,,85,4,,2021-11-17
Mussomeli,,3,15,,,404,4,1,2021-11-17
Niscemi,,,93,,,2802,39,,2021-11-17
Resuttano,,,,,,86,,,2021-11-17
Riesi,,6,52,,,824,9,,2021-11-17
San Cataldo,1,1,21,,,1041,17,,2021-11-17
Santa Caterina Villarmosa,,,9,,,276,2,,2021-11-17
Serradifalco,,,8,1,,349,4,,2021-11-17
Sommatino,,,2,,,226,5,,2021-11-17
Sutera,,,,,,9,,,2021-11-17
Vallelunga Pratameno,,,,,,84,,,2021-11-17
Villalba,,2,15,,,56,,,2021-11-17
altreProvince,,,,,,60,32,,2021-11-17
Acquaviva Platani,,1,18,,,44,,,2021-11-18
Bompensiere,,,,,,34,1,,2021-11-18
Butera,,1,1,,,201,1,,2021-11-18
Caltanissetta,,2,32,,,3177,59,1,2021-11-18
Campofranco,,1,5,,,138,3,,2021-11-18
Delia,,,4,,,118,3,,2021-11-18
Gela,,2,58,,,6604,95,1,2021-11-18
Marianopoli,,,,,,90,3,,2021-11-18
Mazzarino,,,3,,,880,5,1,2021-11-18
Milena,,,1,,,165,6,,2021-11-18
Montedoro,,,,,,85,4,,2021-11-18
Mussomeli,,3,16,,,405,4,1,2021-11-18
Niscemi,,,108,,,2805,39,,2021-11-18
Resuttano,,,,,,86,,,2021-11-18
Riesi,,7,51,,,824,9,,2021-11-18
San Cataldo,1,1,31,,,1041,17,,2021-11-18
Santa Caterina Villarmosa,,,9,,,276,2,,2021-11-18
Serradifalco,,,10,1,,349,4,,2021-11-18
Sommatino,,,2,,,226,5,,2021-11-18
Sutera,,,,,,9,,,2021-11-18
Vallelunga Pratameno,,,,,,84,,,2021-11-18
Villalba,,2,15,,,56,,,2021-11-18
altreProvince,,,,,,60,32,,2021-11-18
Acquaviva Platani,,1,18,,,44,,,2021-11-19
Bompensiere,,,,,,34,1,,2021-11-19
Butera,,1,2,,,201,1,,2021-11-19
Caltanissetta,,2,35,,,3178,59,1,2021-11-19
Campofranco,,1,8,,,138,3,,2021-11-19
Delia,,,4,,,118,3,,2021-11-19
Gela,,2,61,,,6614,95,1,2021-11-19
Marianopoli,,,,,,90,3,,2021-11-19
Mazzarino,,,3,,,880,5,1,2021-11-19
Milena,,,1,,,165,6,,2021-11-19
Montedoro,,,,,,85,4,,2021-11-19
Mussomeli,,1,17,,,405,5,1,2021-11-19
Niscemi,,,104,,,2811,39,,2021-11-19
Resuttano,,,,,,86,,,2021-11-19
Riesi,,7,60,,,832,9,,2021-11-19
San Cataldo,1,1,30,,,1043,17,,2021-11-19
Santa Caterina Villarmosa,,,8,,,277,2,,2021-11-19
Serradifalco,,,10,1,,349,4,,2021-11-19
Sommatino,,,2,,,226,5,,2021-11-19
Sutera,,,,,,9,,,2021-11-19
Vallelunga Pratameno,,,,,,84,,,2021-11-19
Villalba,,4,13,,,56,,,2021-11-19
altreProvince,,,,,,60,32,,2021-11-19
Acquaviva Platani,,1,16,,,46,,,2021-11-21
Bompensiere,,,,,,34,1,,2021-11-21
Butera,,1,2,,,201,1,,2021-11-21
Caltanissetta,,2,32,,,3184,59,1,2021-11-21
Campofranco,,1,9,,,138,3,,2021-11-21
Delia,,,5,,,118,3,,2021-11-21
Gela,,2,67,,,6617,95,1,2021-11-21
Marianopoli,,,,,,90,3,,2021-11-21
Mazzarino,,1,3,,,881,5,1,2021-11-21
Milena,,,1,,,165,6,,2021-11-21
Montedoro,,,,,,85,4,,2021-11-21
Mussomeli,,1,22,,,408,5,1,2021-11-21
Niscemi,,,115,,,2812,39,,2021-11-21
Resuttano,,,,,,86,,,2021-11-21
Riesi,,8,49,,,843,9,,2021-11-21
San Cataldo,1,2,26,,,1046,17,,2021-11-21
Santa Caterina Villarmosa,,,6,,,279,2,,2021-11-21
Serradifalco,,,11,1,,349,4,,2021-11-21
Sommatino,,,2,,,226,5,,2021-11-21
Sutera,,,,,,9,,,2021-11-21
Vallelunga Pratameno,,,,,,84,,,2021-11-21
Villalba,,4,14,,,56,,,2021-11-21
altreProvince,,,,,,60,32,,2021-11-21
Acquaviva Platani,,1,16,,,46,,,2021-11-22
Bompensiere,,,,,,34,1,,2021-11-22
Butera,,1,2,,,201,1,,2021-11-22
Caltanissetta,,3,39,,,3186,59,1,2021-11-22
Campofranco,,1,10,,,138,3,,2021-11-22
Delia,,,5,,,118,3,,2021-11-22
Gela,,3,61,,,6622,95,1,2021-11-22
Marianopoli,,,,,,90,3,,2021-11-22
Mazzarino,,1,3,,,881,5,1,2021-11-22
Milena,,,1,,,165,6,,2021-11-22
Montedoro,,,,,,85,4,,2021-11-22
Mussomeli,,1,38,,,408,5,1,2021-11-22
Niscemi,,,111,,,2820,39,,2021-11-22
Resuttano,,,,,,86,,,2021-11-22
